"","ENTREZID","SYMBOL","ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","newPadj"
"11441","51332","SPTBN5","ENSG00000137877",492.453454465461,6.99406382930457,0.480230901662146,14.5639603888403,4.76173336995804e-48,8.78206485421361e-44,1.01482061580546e-43
"8643","340075","ARSI","ENSG00000183876",792.605232222168,9.13224505799265,0.661266074588537,13.8102428189365,2.21085106708084e-43,2.03873631150859e-39,4.71154470905597e-39
"897","10149","ADGRG2","ENSG00000173698",1309.98664474513,8.78688246973656,0.735790193097593,11.9421032682493,7.13946725916798e-33,4.3891064886945e-29,1.5214204729287e-28
"396","100302743","SNORA80B","ENSG00000206633",247.016565844161,6.807700851377,0.57540967197774,11.8310504374705,2.69744775168057e-32,1.24372572210612e-28,5.74799141405613e-28
"1919","112476","PRRT2","ENSG00000167371",4896.20297255241,9.79804577081146,0.835268423072528,11.7304156366518,8.90204702122573e-32,3.28360906424932e-28,1.89684817928278e-27
"17711","80705","TSGA10","ENSG00000135951",4265.61279445566,8.0415395849865,0.702867968434481,11.4410386390173,2.60745125083392e-30,7.95462572229828e-27,5.55569638015184e-26
"435","100462981","MTRNR2L2","ENSG00000269028",1057.67623047688,4.90075985926481,0.428826170193335,11.4283133817493,3.01916066020105e-30,7.95462572229828e-27,6.43262370262436e-26
"7787","2906","GRIN2D","ENSG00000105464",258.049481222925,6.3797717000871,0.566201197733619,11.267676093982,1.89505693660771e-29,4.36881688523199e-26,4.03741880344272e-25
"3425","146754","DNAH2","ENSG00000183914",3959.59890029745,7.58133993036638,0.680894726267593,11.1343789838474,8.53377219361072e-29,1.74875956185292e-25,1.81803482812683e-24
"4899","2186","BPTF","ENSG00000171634",46091.1163941937,6.30538883653572,0.62834288593852,10.0349490344237,1.07014654724606e-23,1.97367127708591e-20,2.27973318959828e-19
"14263","59283","CACNG8","ENSG00000142408",2583.04748943956,8.00494433514122,0.835072331226829,9.58592930911857,9.16290017903556e-22,1.53628516365412e-18,1.95188099613815e-17
"13109","55806","HR","ENSG00000168453",570.976914684007,6.89001903158603,0.725174227773009,9.50119125543816,2.07502758311953e-21,3.18914447628946e-18,4.42001625480291e-17
