gene,SRR11426824,SRR11426825,SRR11426826,SRR11426821,SRR11426822,SRR11426823
100128292,26,22,20,11,11,8
100128327,0,0,0,5,0,4
100128338,0,0,0,0,0,0
100128361,88,88,97,19,7,9
100128378,1,0,3,0,0,0
100128385,0,0,0,0,0,0
100128398,12,10,12,6,8,5
100128420,0,0,0,0,0,1
100128496,0,0,0,2,2,1
100128505,0,0,0,0,0,0
100128511,0,2,0,0,0,0
100128531,2,2,4,2,1,0
100128553,1,2,3,0,1,0
100128554,0,0,0,0,0,0
100128568,1,0,4,2,2,1
100128569,80,69,88,39,31,25
100128573,6,3,6,3,5,6
100128590,3,4,5,0,2,1
100128593,0,0,0,0,0,0
100128627,1,1,0,1,1,0
100128640,2,7,4,4,3,1
100128675,0,0,0,1,1,2
100128682,0,0,0,15,20,31
100128714,0,0,0,0,0,0
100128731,454,449,509,600,536,580
100128750,10,5,3,6,6,10
100128770,2,1,6,137,148,178
100128782,24,41,28,32,51,39
100128787,0,0,0,2,1,1
100128788,3,1,1,7,14,11
100128811,0,0,2,0,0,0
100128822,12,15,18,21,16,20
100128881,277,318,242,67,87,61
100128885,47,37,30,10,10,7
100128890,1,0,0,0,0,0
100128893,0,3,1,0,0,0
100128927,20,26,23,13,7,5
100128946,0,0,0,0,0,0
100128977,0,0,0,0,0,0
100128993,0,0,0,0,0,0
100129027,0,0,0,0,1,1
100129034,843,883,913,154,132,103
100129046,3,2,4,14,8,22
100129055,1,0,0,5,0,1
100129066,0,0,0,0,0,0
100129075,49,56,42,20,15,11
100129083,0,0,1,0,0,0
100129128,0,0,2,2,0,0
100129138,10,13,5,2,2,2
100129148,2,0,3,2,1,4
100129175,0,0,0,0,3,3
100129195,64,47,63,53,63,70
100129196,0,0,0,6,2,7
100129213,0,0,0,0,0,0
100129216,0,0,2,0,0,0
100129239,0,0,0,0,0,0
100129250,20,13,15,13,12,8
100129269,1,2,2,1,0,2
100129271,0,0,0,0,0,0
100129316,0,1,1,1,0,1
100129345,0,0,0,0,0,0
100129354,19,10,33,5,11,5
100129361,0,0,0,0,0,0
100129385,0,0,0,0,0,0
100129387,131,132,111,127,118,123
100129396,0,0,0,2,1,0
100129405,40,51,56,24,9,14
100129407,0,0,0,0,0,0
100129424,1399,1510,1492,1265,1402,1153
100129427,0,0,0,0,0,0
100129460,65,68,59,17,21,15
100129464,0,0,0,0,0,0
100129480,7,4,5,8,11,9
100129482,724,710,658,172,163,193
100129515,0,0,0,0,0,0
100129518,9,7,6,88,57,70
100129520,0,0,0,0,0,0
100129534,27,23,25,9,6,4
100129543,49,44,57,17,16,21
100129550,61,37,52,15,10,7
100129583,0,0,0,3,0,0
100129597,0,0,0,0,0,0
100129617,9,7,12,3,2,3
100129620,3,0,0,0,0,0
100129636,0,0,0,0,0,0
100129654,0,0,0,0,1,1
100129662,0,0,0,0,0,0
100129669,0,0,0,0,0,0
100129716,4,4,1,8,5,10
100129722,12,14,14,8,11,11
100129726,0,2,2,12,5,9
100129792,0,0,0,1,0,1
100129794,13,8,11,2,0,3
100129827,0,0,0,0,0,0
100129842,0,0,0,0,0,0
100129845,17,16,18,5,4,10
100129858,20,12,12,4,7,12
100129917,6,6,16,25,15,20
100129924,2,3,7,6,6,4
100129931,11,8,3,9,7,14
100129935,0,0,0,1,0,1
100129961,4,8,5,3,4,1
100129973,1,2,2,3,4,6
10013,0,0,0,0,0,0
100130000,0,0,0,0,0,0
100130015,25,24,41,4,1,3
100130017,0,0,0,0,2,2
100130075,2,2,2,4,2,9
100130086,0,0,0,0,0,0
100130093,24,25,25,0,4,0
100130148,0,0,0,1,2,0
100130155,0,0,0,0,0,0
100130197,0,0,2,0,1,1
100130231,0,0,0,0,0,0
100130238,0,0,0,0,0,0
100130264,0,0,0,2,0,3
100130274,0,0,0,0,0,0
100130275,35,38,49,20,30,25
100130298,0,0,0,0,0,1
100130301,2,0,0,10,3,6
100130302,0,0,0,0,0,0
100130311,33,38,39,15,12,7
100130331,145,155,143,77,56,45
100130342,0,0,0,1,0,0
100130348,2,2,1,6,8,10
100130357,10,8,18,17,10,15
100130370,0,0,0,0,0,0
100130386,0,0,0,1,1,0
100130417,7,24,11,2,3,1
100130418,67,65,70,30,16,16
100130449,0,2,0,2,1,0
100130451,0,0,0,0,1,0
100130452,0,2,0,4,4,2
100130476,1,1,2,11,14,12
100130480,0,0,0,0,0,0
100130519,4,7,6,2,4,8
100130522,5,5,6,40,35,26
100130539,0,0,0,0,0,0
100130557,21,21,24,15,6,15
100130581,35,29,44,18,18,27
100130613,0,0,0,0,0,0
100130673,0,1,1,4,0,7
100130691,14,13,8,6,10,11
100130700,0,0,0,0,0,0
100130705,9,14,11,37,27,25
100130717,1,0,3,1,0,1
100130733,1,11,1,1,0,2
100130742,25,20,18,21,14,20
100130744,81,92,106,88,74,95
100130771,33,15,29,36,35,27
100130776,126,142,125,15,16,8
100130827,2,3,3,0,2,4
100130849,0,0,0,0,0,0
100130855,20,12,20,3,3,8
100130872,0,1,0,5,2,3
100130880,0,0,0,0,0,0
100130889,0,0,0,0,0,0
100130890,90,72,100,63,92,104
100130894,15,27,23,3,5,3
100130899,0,0,0,0,0,2
100130933,8,7,6,1,3,3
100130934,0,0,0,0,0,0
100130935,0,0,0,0,0,0
100130950,14,16,13,10,7,5
100130954,0,0,0,1,1,0
100130958,9,5,11,8,11,5
100130964,0,0,0,0,0,0
100130967,9,4,2,2,2,4
100130987,9,6,2,7,7,9
100130988,0,0,0,0,0,0
100130992,0,0,0,1,2,1
100131047,0,0,0,0,0,0
100131060,1,2,2,1,3,2
100131067,140,124,115,18,16,21
100131089,57,49,56,18,28,27
100131094,99,138,153,20,6,13
100131096,108,85,102,57,44,32
100131117,0,0,0,0,0,0
100131137,0,0,0,1,2,0
100131138,0,0,0,0,0,0
100131176,0,1,0,6,5,4
100131187,63,76,77,69,69,46
100131193,14,16,16,17,8,8
100131208,0,0,0,0,0,1
100131211,94,97,92,25,15,19
100131213,14,18,20,3,9,5
100131234,11,15,17,8,4,5
100131244,2,0,0,2,0,1
100131257,1,0,2,6,3,6
100131289,1,0,0,1,2,5
100131320,0,0,0,6,6,4
100131347,0,1,1,3,9,8
100131366,0,0,0,35,26,23
100131378,164,127,104,62,80,75
100131390,0,0,0,0,0,0
100131434,4,3,0,1,0,1
100131439,0,0,0,1,0,0
100131454,11,33,17,18,7,16
100131496,6,3,5,5,5,10
100131551,0,0,0,6,9,3
100131561,0,0,0,0,0,0
100131564,125,118,133,126,118,123
100131626,0,0,0,0,0,0
100131635,0,0,0,0,0,0
100131655,1,0,1,3,7,2
100131691,54,71,49,19,12,20
100131726,1,2,0,9,6,9
100131733,3,5,4,4,2,5
100131755,0,0,0,0,0,0
100131801,152,117,144,70,70,74
100131814,1,1,0,1,2,3
100131816,0,0,0,0,0,0
100131825,0,0,0,0,0,0
100131827,10,17,1,9,7,3
100131897,27,27,35,15,1,9
100131902,0,0,0,0,0,0
100131980,0,0,0,0,0,0
100131998,218,148,157,39,28,27
100132062,0,0,0,0,0,0
100132077,0,0,0,1,4,0
100132078,0,0,0,0,0,0
100132101,1,0,0,0,0,0
100132103,0,0,0,0,0,0
100132111,0,0,0,2,0,1
100132146,0,0,0,0,0,0
100132163,5,3,1,2,0,1
100132215,65,45,49,10,8,13
100132247,154,168,147,33,29,25
100132273,0,0,0,0,0,0
100132285,0,0,0,0,0,0
100132288,4,0,3,1,3,1
100132341,19,26,34,12,7,5
100132352,9,0,0,3,0,1
100132354,1,0,0,0,1,0
100132356,86,80,72,36,40,50
100132386,0,0,0,0,0,0
100132396,0,0,0,0,0,0
100132399,0,0,0,0,0,0
100132403,0,0,0,0,0,0
100132406,11,9,10,12,5,11
100132417,0,0,0,0,0,0
100132463,0,0,0,0,0,3
100132464,0,0,0,0,0,0
100132476,0,0,0,0,0,0
100132526,0,0,0,0,0,0
100132565,0,0,0,0,0,0
100132594,1,1,3,6,5,0
100132596,0,0,0,0,0,0
100132618,6,9,4,3,1,3
100132677,0,2,4,5,2,6
100132707,83,78,72,11,23,14
100132708,0,0,0,0,0,0
100132724,61,58,56,24,19,10
100132735,0,0,0,0,0,0
100132774,18,30,29,8,12,3
100132781,2,1,1,2,1,2
100132831,6,8,11,4,4,3
100132832,0,1,0,2,1,3
100132891,0,0,0,0,0,0
100132911,78,51,67,86,66,68
100132916,2,0,5,5,4,1
100132923,1,1,1,2,0,0
100132948,0,0,0,1,0,0
100132963,0,0,0,0,0,0
100132979,0,0,0,0,0,0
100132987,0,0,0,0,0,0
100132994,0,0,0,0,0,1
100133036,0,4,4,0,1,2
100133050,0,1,1,0,0,0
100133053,0,0,0,0,0,0
100133091,40,30,32,27,15,22
100133121,0,1,2,0,0,0
100133123,0,0,0,0,0,0
100133144,0,0,0,0,0,0
100133161,2,0,1,0,0,0
100133172,0,4,0,2,1,4
100133205,3,10,9,3,2,3
100133234,20,14,28,13,8,6
100133286,0,2,1,1,4,2
100133308,0,0,0,0,0,1
100133311,17,13,9,1,3,7
100133315,31,27,28,6,13,8
100133331,82,79,57,7,11,7
100133445,3,4,0,2,2,0
100133461,0,0,0,0,0,0
100133545,1,1,0,0,0,1
100133612,0,0,0,0,0,0
100133669,1,0,1,1,0,2
100133920,0,0,0,1,0,1
100133941,0,0,0,0,0,0
100133957,5,1,4,7,11,2
100133985,5,13,11,28,32,14
100133991,47,48,55,12,4,5
100134015,18,15,17,19,29,36
100134229,25,32,39,19,24,13
100134259,34,32,33,9,13,14
100134317,0,0,0,1,0,1
100134368,2,4,5,4,8,3
100134713,45,35,63,20,18,22
100134868,3,6,7,1,0,1
100134869,0,0,0,0,0,0
100137047,29,25,20,7,9,14
100137049,7,2,4,3,2,0
10014,356,388,462,160,127,127
100141515,4,1,4,10,16,20
100144595,0,0,1,0,0,0
100144596,0,0,0,1,0,0
100144597,0,0,0,1,0,0
100144602,0,0,0,0,0,0
100144603,23,22,30,14,10,10
100144604,0,0,0,0,0,2
100144748,5,3,4,7,8,6
10015,2807,3055,2701,728,598,595
100151643,0,0,0,0,0,0
100151683,1,0,0,23,21,20
100151684,0,0,0,0,0,0
100158262,4,2,1,2,3,1
10016,938,979,1024,256,230,176
100169752,0,0,0,0,0,0
100169851,0,0,0,4,1,2
100169890,0,0,0,0,0,0
100169951,0,0,0,0,0,0
100169989,8,3,2,3,1,2
10017,2,0,0,2,8,4
100170217,0,0,0,0,0,0
100170218,0,0,0,0,0,0
100170219,0,0,0,0,0,0
100170220,0,0,2,4,4,3
100170221,0,0,0,0,0,0
100170222,0,0,0,0,0,0
100170226,0,0,0,0,0,0
100170227,0,0,0,0,0,0
100170228,0,0,0,0,3,0
100170229,0,0,0,0,0,0
100170765,0,0,0,0,0,0
100170841,280,324,318,68,36,56
10018,248,237,262,112,72,87
100187716,0,0,0,0,0,0
100188847,0,0,1,0,1,0
100188893,0,0,0,0,0,0
100188947,0,0,1,1,1,3
100188949,0,0,0,2,0,2
100188953,0,1,0,1,0,1
100188954,0,2,2,5,5,4
100189589,0,1,2,4,4,5
10019,1509,1711,1705,679,558,511
100190938,1,1,3,7,9,10
100190939,113,158,145,77,52,71
100190940,0,0,0,0,0,0
100190949,0,0,0,0,1,2
100190986,1,0,0,0,0,0
100191040,0,1,1,0,0,0
100192204,32,21,18,24,35,31
100192378,2,2,4,3,3,0
100192379,0,0,0,2,1,3
100192386,0,0,0,0,3,2
100192420,0,0,0,3,0,3
100192426,0,0,0,0,0,0
1002,23,7,19,10,14,6
10020,571,654,647,312,280,316
10021,0,1,0,0,1,1
100216001,1,2,4,1,0,0
100216479,0,0,0,0,1,0
100216545,62,67,69,65,40,70
100216546,509,394,505,698,756,717
10022,0,0,0,5,3,4
10023,19,22,16,17,15,8
100233156,105,87,93,35,30,34
100233209,0,0,0,0,0,0
10024,2888,2573,2893,655,629,623
100240734,0,1,0,0,0,2
100240735,0,0,0,1,0,0
10025,1068,876,1169,285,245,224
10026,748,817,772,367,312,378
100268168,70,61,70,106,108,101
100270679,0,0,0,0,0,0
100270746,3,8,10,4,5,4
100270804,7,13,9,5,4,2
100271702,0,1,0,4,1,0
100271715,2,2,0,7,3,11
100271722,12,10,4,15,27,15
100271832,0,0,0,4,0,3
100271835,4,4,12,7,6,4
100271836,4,3,1,2,0,0
100271846,2,1,5,15,23,31
100271849,15,6,12,2,3,4
100271873,0,0,1,0,1,2
100271927,1,2,2,1,0,2
100272147,0,0,0,0,0,0
100272216,0,0,0,0,0,0
100272217,18,21,20,75,50,74
100272228,0,0,0,0,0,0
100286793,0,0,0,0,0,0
100286844,8,6,11,6,5,13
100286922,0,0,0,1,0,0
100286938,0,0,0,0,0,0
100286979,0,0,0,0,2,0
100287010,0,0,0,0,0,0
100287015,22,21,27,9,9,20
100287029,0,0,0,0,0,0
100287036,45,61,65,12,12,18
100287042,10,17,14,32,21,18
100287072,1,0,0,2,1,1
100287102,0,0,0,1,0,0
100287114,0,0,0,0,0,0
100287144,0,0,0,0,0,0
100287171,192,136,167,34,33,38
100287177,13,16,14,175,181,204
100287178,0,0,0,0,0,0
100287205,0,0,0,0,0,0
100287216,0,0,0,0,0,0
100287225,1,0,0,0,0,1
100287226,1,0,1,0,3,1
100287227,2,1,3,1,1,1
100287238,0,0,0,0,0,0
100287284,0,0,0,13,9,9
100287314,114,149,113,99,86,99
100287327,0,0,0,0,0,0
100287362,0,0,0,1,0,1
100287404,0,0,0,0,0,0
100287428,0,0,0,0,0,0
100287441,0,0,0,0,0,0
100287466,0,0,0,0,0,0
100287482,13,11,16,12,6,13
100287534,0,0,0,0,0,0
100287559,2,0,0,2,4,5
100287569,31,24,32,13,6,13
100287596,0,0,0,2,0,4
100287616,0,0,0,0,0,0
100287632,0,2,1,1,0,0
100287639,2,0,0,2,1,0
100287718,0,0,0,0,0,0
100287722,11,20,13,7,4,6
100287765,39,40,19,10,12,12
100287792,1,0,0,4,3,1
100287814,0,0,0,3,7,3
100287834,2,2,1,1,4,1
100287846,2,1,1,1,2,1
100287879,1,2,0,1,2,3
100287898,0,0,1,0,0,0
100287902,1,1,1,5,2,5
100287932,2,2,2,3,1,1
100287944,0,3,0,0,0,0
100287948,0,0,0,0,0,0
100288069,3,3,2,8,5,2
100288077,0,1,0,1,1,2
100288079,1,0,0,2,6,6
100288122,0,0,0,0,0,1
100288123,41,31,35,13,6,9
100288142,0,0,0,0,0,0
100288181,0,0,0,0,0,0
100288198,21,10,16,10,0,5
100288255,0,0,0,0,0,0
100288287,0,0,0,0,0,0
100288323,0,0,0,0,0,0
100288332,1,5,1,0,1,3
100288346,0,0,0,0,0,0
100288413,84,77,89,10,11,19
100288428,11,15,17,4,1,0
100288432,11,16,12,12,5,5
100288485,0,1,0,1,1,0
100288486,0,0,0,0,0,0
100288520,0,0,0,0,0,0
100288524,0,0,0,0,0,0
100288527,0,0,0,0,0,0
100288615,1,7,3,1,0,2
100288637,530,490,473,60,60,41
100288687,0,0,0,0,0,0
100288730,7,6,8,7,7,6
100288748,1,0,0,1,4,2
100288778,1,2,2,0,0,1
100288797,0,0,0,0,2,1
100288805,0,1,0,0,0,0
100288814,0,0,0,1,0,0
100288831,0,0,1,4,9,3
100288842,3,7,2,6,8,5
100288846,2,3,3,1,3,3
100288911,1,0,0,0,0,0
100288966,0,0,0,0,0,0
100288974,0,0,0,0,0,1
100289017,0,0,0,0,0,0
100289019,262,194,225,61,53,64
100289092,72,94,65,17,32,16
100289137,642,491,564,46,32,34
100289150,0,0,0,0,0,0
100289178,10,10,9,8,5,5
100289187,8,6,5,6,6,11
100289211,0,0,0,0,0,0
100289230,10,11,5,5,9,6
100289255,0,0,0,0,0,0
100289341,23,17,21,31,33,33
100289361,12,7,8,3,1,1
100289373,14,9,18,8,4,6
100289388,1,3,4,3,2,1
100289410,0,0,0,0,0,0
100289462,0,0,0,0,0,0
100289473,0,0,0,0,4,2
100289495,1,0,4,1,5,4
100289509,10,9,15,2,5,6
100289511,0,5,6,2,1,0
100289561,0,0,0,0,0,0
100289635,296,305,231,54,44,56
100289650,0,6,0,0,0,2
100289656,0,0,0,0,0,0
100289673,0,0,0,0,1,2
100289678,370,383,434,67,55,62
100292680,12,16,19,21,11,24
100293516,177,188,202,48,40,51
100293534,0,0,0,0,0,0
100294145,0,0,0,0,0,0
100294362,14,4,4,4,4,5
100294720,0,0,0,0,2,0
1003,1,0,0,9,5,5
100302112,0,0,0,0,0,0
100302113,0,0,0,0,0,0
100302115,0,0,0,0,0,0
100302116,0,0,0,0,0,1
100302117,0,0,0,0,0,0
100302118,0,0,0,0,0,0
100302119,0,0,0,0,0,0
100302121,0,0,0,0,0,1
100302123,0,0,0,0,0,0
100302124,0,0,0,0,0,0
100302126,0,0,0,0,0,0
100302127,0,0,0,0,0,0
100302129,0,0,0,0,0,0
100302131,0,0,0,0,0,0
100302132,0,0,0,0,0,0
100302133,0,0,0,0,0,0
100302134,0,0,0,0,0,0
100302135,0,1,1,1,0,0
100302136,0,0,0,0,0,0
100302137,27,21,28,0,2,2
100302138,0,0,0,0,0,0
100302139,0,0,0,0,0,0
100302141,0,0,0,0,0,0
100302142,0,0,0,0,0,0
100302144,0,0,0,0,0,0
100302145,0,0,0,0,0,0
100302149,0,0,1,0,0,0
100302150,0,0,0,1,0,0
100302152,0,0,0,0,0,0
100302153,0,0,0,0,0,0
100302155,4,0,0,1,1,4
100302156,0,1,1,0,0,0
100302157,0,0,0,0,0,0
100302158,0,1,0,0,0,0
100302161,2,1,1,2,2,0
100302163,0,0,0,0,0,0
100302164,0,0,0,0,0,0
100302166,0,0,0,0,0,0
100302168,0,0,0,0,0,1
100302169,0,0,0,0,0,0
100302170,5,4,7,0,0,0
100302172,0,0,0,0,0,0
100302174,0,0,0,0,0,1
100302175,0,0,0,0,0,0
100302178,0,0,0,0,0,0
100302179,0,0,0,0,0,0
100302182,0,0,0,0,0,0
100302184,0,0,1,2,0,1
100302185,1,1,0,7,2,10
100302186,0,0,0,0,0,0
100302187,0,0,0,0,0,0
100302188,0,0,0,0,0,0
100302190,0,0,0,0,0,0
100302191,0,0,0,0,0,0
100302192,0,0,0,0,0,1
100302195,0,0,0,0,0,0
100302196,0,0,0,0,0,0
100302197,0,0,0,0,0,0
100302201,0,0,0,0,0,0
100302202,0,0,0,0,0,0
100302204,0,0,0,0,0,0
100302205,0,0,0,0,0,0
100302208,0,0,0,0,0,0
100302209,0,0,0,0,0,0
100302210,0,0,0,0,0,0
100302211,0,0,0,0,0,0
100302212,0,0,0,0,0,0
100302213,0,0,0,0,0,0
100302214,0,0,0,0,0,0
100302217,0,0,0,0,0,0
100302219,0,0,0,0,0,0
100302220,0,1,0,0,0,0
100302222,0,0,0,0,0,0
100302224,0,0,0,0,0,0
100302225,0,0,0,0,0,0
100302226,0,0,0,0,0,1
100302229,0,0,0,0,0,0
100302232,5,0,1,0,0,0
100302235,0,0,0,0,0,0
100302236,0,0,0,0,0,0
100302237,2,0,1,0,0,1
100302238,0,0,0,0,0,0
100302239,0,0,3,0,1,1
100302240,17,19,14,7,2,11
100302242,0,0,0,0,0,0
100302243,0,0,1,2,0,0
100302246,0,0,0,0,0,0
100302250,0,0,0,0,0,0
100302251,0,0,0,0,0,0
100302254,0,0,0,0,0,0
100302255,0,0,0,0,0,0
100302256,0,0,0,0,0,0
100302257,0,0,0,0,0,2
100302258,2,1,0,0,0,0
100302260,0,0,0,0,0,0
100302261,0,0,0,0,0,0
100302263,0,0,0,0,0,1
100302265,0,0,0,0,0,0
100302267,0,0,0,0,0,0
100302270,0,0,0,0,0,0
100302274,0,0,0,0,0,0
100302277,0,0,0,0,0,0
100302279,0,0,0,0,0,0
100302280,0,0,0,0,0,0
100302281,0,2,1,0,0,0
100302282,0,0,0,0,0,0
100302283,1,0,0,0,0,0
100302285,3,3,1,1,0,2
100302287,0,0,0,0,0,0
100302289,0,0,0,0,0,0
100302290,0,0,0,0,0,0
100302401,21,19,22,5,9,4
100302526,0,0,0,0,0,0
100302640,0,0,0,1,2,0
100302650,0,3,4,5,6,1
100302691,0,0,0,1,0,1
100302692,58,48,39,38,51,45
100302736,0,0,0,0,0,0
100302739,0,0,0,0,0,0
100302740,0,2,1,0,1,0
100302743,2,2,5,1,1,4
100302746,0,0,0,0,0,0
100303453,1,0,0,1,2,3
100303491,0,0,0,0,0,0
100303728,28,26,25,26,13,23
100303749,3,0,0,5,2,4
100303755,34,58,36,4,3,1
100306951,124,137,152,30,20,29
100306975,0,2,3,6,5,3
100309464,0,1,0,8,5,6
100310812,18,9,13,1,3,2
100310846,22,19,25,26,27,14
100313769,3,2,6,5,3,2
100313770,0,0,0,1,0,0
100313771,0,0,0,0,0,0
100313772,0,0,0,0,0,0
100313773,0,0,0,0,1,2
100313777,0,0,0,0,0,0
100313778,0,0,0,0,0,0
100313779,0,0,0,0,0,0
100313780,0,0,0,0,0,1
100313781,0,0,0,0,0,0
100313824,0,0,0,0,0,0
100313837,0,0,0,0,0,0
100313838,0,0,0,0,0,0
100313839,0,0,0,0,0,0
100313841,0,0,0,0,1,0
100313842,0,0,0,0,0,0
100313843,0,0,0,0,0,0
100313884,0,0,0,1,1,1
100313886,0,1,1,0,0,0
100313887,0,0,0,0,0,0
100313892,0,0,0,0,0,0
100313895,0,0,0,0,0,0
100313896,0,0,2,1,0,5
100313914,0,0,1,0,0,0
100313923,0,0,0,0,0,0
100313938,0,0,0,0,0,0
100316868,1,4,2,2,5,5
