"ID","ENTREZID","SYMBOL","ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","newPadj"
"16870","89882","TPD52L3","ENSG00000170777",108.375047551907,24.9479122570524,2.65280541250074,9.40435063178438,5.23524689765702e-21,4.699737631814e-17,1.07264973686095e-16
"8050","3885","KRT34","ENSG00000131737",104.285423115986,24.9197123617961,2.65294512922294,9.39322569747047,5.81902758845291e-21,4.699737631814e-17,1.19220237232223e-16
"8051","3885","KRT34","ENSG00000262045",104.285423115986,24.9197123617961,2.65294512922294,9.39322569747047,5.81902758845291e-21,4.699737631814e-17,1.19220237232223e-16
"1537","112476","PRRT2","ENSG00000167371",4309.91837646061,9.89848729032138,1.11541773802316,8.87424231558695,7.04111095589583e-19,3.79116884235285e-15,1.44251240153438e-14
"595","10149","ADGRG2","ENSG00000173698",1066.75799774698,9.48455300725388,1.16030289066002,8.1742044112798,2.97824520741903e-16,1.20268987088599e-12,6.10123313191863e-12
"7327","340075","ARSI","ENSG00000183876",600.562543313698,8.85069676236272,1.11978879708595,7.90389829349524,2.70313611007203e-15,8.7327515171987e-12,5.53737432148255e-11
"15361","80705","TSGA10","ENSG00000135951",3387.3538054583,8.37781815168698,1.12345450166457,7.45719398451293,8.83845312474095e-14,2.37945888873234e-10,1.81046873807194e-09
"8562","4145","MATK","ENSG00000007264",62058.893824849,7.80617212580552,1.10043686958372,7.09370282073381,1.30570361720248e-12,3.01300436123881e-09,2.67447271911584e-08
"1192","10864","SLC22A7","ENSG00000137204",206.472309433665,8.19833996340755,1.17062302201096,7.00339888183988,2.49826240635628e-12,5.04430408123412e-09,5.11694106069893e-08
"9672","51332","SPTBN5","ENSG00000137877",335.072734386568,7.36698167873003,1.05784114254763,6.96416634069263,3.30354095739321e-12,5.92912189830806e-09,6.76598223483703e-08
"2788","146754","DNAH2","ENSG00000183914",3027.50341596413,7.54947839686283,1.11620864189212,6.76350111755585,1.34696334474472e-11,2.17574989076615e-08,2.75858093003719e-07
"16128","84548","TMEM185A","ENSG00000269556",1048.72665082199,7.68875930703256,1.14063252418558,6.7407856114943,1.57532508161302e-11,2.31329327666319e-08,3.22610823463531e-07
"8942","4654","MYOD1","ENSG00000129152",323.868465237211,10.8703821975888,1.63309837783868,6.65629354918301,2.80819118454007e-11,3.57659712795337e-08,5.75061390770116e-07
"10313","5457","POU4F1","ENSG00000152192",510.153577883696,8.37445685865929,1.25881362084144,6.65265828078782,2.87845989372834e-11,3.57659712795337e-08,5.89422232438752e-07
"253","100302743","SNORA80B","ENSG00000206633",191.679855111259,7.29165542376699,1.10448960563138,6.60183254472431,4.06106089673622e-11,4.5713746571638e-08,8.31542829215708e-07
"158","100132916","SHISAL2B","ENSG00000145642",3231.68886760096,9.14002501096732,1.38584725511332,6.595261474339,4.24507025676079e-11,4.5713746571638e-08,8.69178135071771e-07
"8673","43","ACHE","ENSG00000087085",770.33528460997,7.77884223972699,1.21225749321664,6.41682339210492,1.39147184806279e-10,1.40477779760989e-07,2.84889946172375e-06
"12278","59283","CACNG8","ENSG00000142408",1798.16522256736,7.64007671722398,1.20174508059767,6.35748532744093,2.05083253323045e-10,1.94865281819244e-07,4.1986694452827e-06
"4300","2262","GPC5","ENSG00000179399",334.139646892331,7.0689348675312,1.11437657443742,6.34339865866247,2.2475083634083e-10,2.01688903300746e-07,4.60109912156948e-06
"10300","54549","SDK2","ENSG00000069188",414.110326776183,7.01864007740431,1.12004274243002,6.26640378221354,3.69481508075916e-10,3.06743030881278e-07,7.56365595182207e-06
"7075","3170","FOXA2","ENSG00000125798",173.751466527117,9.04038876526492,1.44366440090785,6.26211241309259,3.79796979980533e-10,3.06743030881278e-07,7.77444418020151e-06
"5655","2636","GBX1","ENSG00000164900",545.314766071902,14.2479495399237,2.29834326410419,6.19922609579255,5.67414712574928e-10,3.96167659921684e-07,1.16144117516962e-05
"8148","390010","NKX1-2","ENSG00000229544",505.897760506855,7.04654866637724,1.13690351871157,6.19801816988214,5.7178541332856e-10,3.96167659921684e-07,1.1703303840009e-05
